Transaction_ID,Customer_ID,Region,Age,Product_Category,Quantity,Payment_Method,Price,Discount,Purchase_Date,Store_Type,First_Purchase_Date,Lead_Time_Days
5766,4494,East,28.0,Home Goods,3,Debit Card,58.09,0.16,2023-08-27,In-Store,2006-09-04,
12513,2526,East,62.0,Home Goods,5,Credit Card,212.36,0.03,2023-03-14,Online,2017-02-28,4.0
8359,3560,South,37.0,Clothing,9,Credit Card,145.99,0.02,2024-08-19,In-Store,2008-11-20,
3160,1115,North,37.0,Home Goods,1,Credit Card,53.45,0.13,2023-01-28,Online,2020-04-14,5.0
8514,1428,West,59.0,Toys,3,Credit Card,268.64,0.13,2023-08-06,Online,2013-06-22,7.0
6116,4514,South,68.0,Electronics,6,Debit Card,297.97,0.1,2024-06-04,In-Store,2020-01-26,
15040,1491,East,63.0,Clothing,6,Debit Card,,0.11,2023-02-21,Online,2021-12-14,7.0
3311,4150,North,32.0,Sports,5,Credit Card,354.96,0.18,2024-08-04,Online,2010-12-04,8.0
5055,3459,East,36.0,Electronics,7,Debit Card,382.15,0.15,2023-04-07,Online,2013-08-02,5.0
9187,4639,South,66.0,Toys,9,Credit Card,241.86,0.17,2024-12-11,In-Store,2011-07-16,
11070,3053,North,52.0,Sports,1,Cash,163.17,0.28,2023-06-08,In-Store,2006-06-29,
4819,3211,South,42.0,Sports,5,Debit Card,460.43,0.16,2024-06-24,Online,2009-02-10,8.0
15505,1773,East,65.0,Toys,9,Credit Card,,0.07,2023-08-25,Online,2020-04-29,3.0
8503,2886,North,33.0,Sports,6,Debit Card,175.96,0.28,2023-12-10,,2011-11-04,
7397,1572,East,33.0,Electronics,4,Cash,263.05,0.06,2023-12-07,In-Store,2013-01-08,
8783,3390,West,19.0,Home Goods,5,Credit Card,449.72,0.17,2023-09-20,In-Store,2022-04-14,
11617,2215,South,41.0,Toys,1,Credit Card,404.98,0.05,2024-07-13,Online,2008-05-10,8.0
3677,3183,North,22.0,Toys,1,Debit Card,416.2,,2024-05-13,Online,2012-12-31,6.0
9485,2878,East,34.0,Toys,8,Debit Card,64.06,0.13,2023-04-01,In-Store,2022-01-01,
9696,2357,West,18.0,Sports,9,Debit Card,,0.24,2023-02-04,Online,2006-01-29,5.0
11594,2196,South,21.0,Home Goods,8,Cash,336.33,0.09,2024-03-03,In-Store,2022-04-20,
14879,1508,East,,Home Goods,3,Cash,123.76,0.21,2023-07-11,In-Store,2006-05-27,
5058,1052,North,66.0,Home Goods,4,Debit Card,135.92,0.19,2024-07-15,Online,2011-04-18,9.0
13829,1806,South,56.0,Home Goods,10,Debit Card,,0.05,2023-06-25,In-Store,2009-10-10,
12735,2653,South,46.0,Sports,7,Credit Card,52.73,0.2,2023-03-03,In-Store,2012-06-11,
2165,1002,North,39.0,Sports,6,Cash,222.57,0.27,2023-09-14,In-Store,2016-03-24,
2114,2325,East,62.0,Clothing,7,Debit Card,194.96,0.14,2023-05-05,Online,2008-08-28,4.0
9660,4783,North,44.0,Toys,7,Debit Card,90.35,0.27,2024-12-01,In-Store,2022-11-04,
9387,3757,West,54.0,Sports,7,Credit Card,205.14,0.18,2024-05-29,In-Store,2016-02-04,
2739,3734,South,48.0,Clothing,6,Debit Card,137.8,,2023-08-29,In-Store,2007-12-27,
3979,4779,North,61.0,Electronics,9,Cash,76.88,0.25,2024-04-03,In-Store,2013-04-14,
8364,2539,West,19.0,Electronics,2,Credit Card,267.15,0.26,2023-07-15,In-Store,2011-04-22,
1713,4079,North,39.0,Electronics,6,Cash,438.19,0.27,2024-09-23,In-Store,2021-09-02,
1817,4306,North,52.0,Sports,1,Debit Card,67.99,0.24,2024-03-26,Online,2019-10-11,9.0
15294,1553,North,,Sports,2,Cash,206.1,0.09,2024-02-14,In-Store,2019-06-28,
5067,2494,North,64.0,Sports,1,Credit Card,132.85,0.29,2023-02-01,Online,2005-11-21,2.0
484,4170,North,32.0,Toys,4,Debit Card,94.62,0.09,2024-12-21,Online,2007-09-30,4.0
10657,4717,North,45.0,Home Goods,1,Debit Card,,0.12,2023-06-01,In-Store,2010-01-14,
12975,2040,West,,Toys,9,Cash,109.56,0.03,2024-12-13,In-Store,2011-10-23,
6551,1649,North,56.0,Sports,1,Debit Card,104.39,0.19,2024-03-20,Online,2006-08-28,9.0
10795,2312,South,53.0,Home Goods,3,Credit Card,296.96,0.28,2023-05-18,In-Store,2008-09-16,
6448,2983,South,43.0,Toys,1,Debit Card,397.79,0.0,2023-12-22,In-Store,2016-03-28,
12905,2528,North,36.0,Electronics,2,Debit Card,76.24,0.18,2025-01-28,In-Store,2008-09-24,
15576,3890,East,33.0,Home Goods,6,Debit Card,247.44,0.21,2025-01-10,Online,2021-05-22,7.0
9082,3284,West,20.0,Sports,4,Credit Card,394.79,0.24,2024-01-24,In-Store,2018-01-28,
14777,1568,South,31.0,Toys,9,Cash,238.07,0.29,2025-01-13,In-Store,2022-12-14,
3744,2828,East,40.0,Home Goods,3,Debit Card,143.03,0.28,2023-06-10,Online,2016-07-19,1.0
11738,3293,West,,Electronics,5,Debit Card,80.05,0.16,2023-11-25,Online,2010-01-06,4.0
11066,1664,West,69.0,Home Goods,1,Credit Card,493.02,0.15,2023-10-06,Online,2013-10-01,2.0
1,4174,East,42.0,Sports,8,Cash,38.51,0.13,2023-12-06,In-Store,2022-03-12,
12950,2078,North,36.0,Clothing,4,Debit Card,560.9,0.28,2024-06-07,Online,2014-02-09,4.0
14265,2637,West,38.0,Sports,2,Credit Card,394.27,0.24,2023-10-24,Online,2013-08-18,2.0
12812,2267,North,65.0,Clothing,4,Credit Card,355.24,0.15,2024-05-20,In-Store,2005-09-21,
2742,3212,North,48.0,Home Goods,5,Debit Card,148.35,0.0,2024-05-08,Online,2005-09-05,6.0
11359,2323,South,47.0,Home Goods,5,Cash,197.76,0.01,2023-03-19,In-Store,2012-12-02,
1602,1116,South,68.0,Clothing,3,Cash,168.54,0.02,2024-02-18,In-Store,2014-03-20,
1241,3786,South,20.0,Sports,2,Credit Card,300.89,0.25,2023-10-20,In-Store,2006-04-11,
15534,3874,North,47.0,Electronics,7,Credit Card,106.87,0.02,2024-08-11,Online,2012-07-22,2.0
10246,2191,North,21.0,Sports,2,Credit Card,439.93,0.24,2024-10-15,In-Store,2015-04-10,
11558,1802,West,55.0,Home Goods,6,Cash,189.81,0.19,2023-11-08,,2006-11-13,
8180,3178,East,38.0,Electronics,5,Credit Card,169.27,0.2,2024-07-22,In-Store,2020-02-06,
9581,3883,West,26.0,Toys,6,Credit Card,175.19,0.22,2023-12-30,In-Store,2013-01-04,
13255,4294,East,67.0,Electronics,6,Cash,437.27,0.11,2023-11-17,In-Store,2015-10-05,
6259,4497,North,41.0,Toys,7,Credit Card,407.76,0.23,2023-03-06,Online,2020-01-24,5.0
8338,4391,South,39.0,Home Goods,8,Debit Card,190.13,0.08,2024-03-27,In-Store,2012-12-05,
8036,3172,North,21.0,Sports,5,Credit Card,421.99,0.19,2024-11-23,In-Store,2012-10-14,
12680,2266,North,30.0,Sports,9,Credit Card,143.58,0.03,2023-10-11,Online,2013-11-27,8.0
11214,2582,East,19.0,Sports,9,Cash,112.89,0.22,2023-03-08,In-Store,2005-04-07,
12442,1107,West,59.0,Toys,4,Credit Card,472.04,0.15,2024-01-09,Online,2019-12-10,9.0
10710,2390,South,68.0,Sports,1,Debit Card,485.32,0.28,2023-08-11,,2005-05-13,
4979,4655,West,45.0,Home Goods,1,Credit Card,122.46,0.15,2024-06-09,In-Store,2012-12-17,
11952,4177,North,18.0,Toys,4,Debit Card,390.85,0.22,2024-06-29,Online,2007-03-23,7.0
2549,2883,East,26.0,Toys,2,Credit Card,349.76,0.29,2024-07-17,Online,2019-03-22,9.0
8620,2178,East,23.0,Clothing,9,Debit Card,188.76,0.21,2024-12-24,Online,2013-10-24,8.0
6414,4854,East,51.0,Clothing,6,Cash,455.34,0.22,2023-04-29,In-Store,2010-10-20,
10403,1018,East,62.0,Toys,3,Cash,386.75,0.15,2023-01-25,,2008-10-03,
4322,3220,South,69.0,Sports,3,Credit Card,492.93,0.23,2024-02-18,In-Store,2010-03-10,
11306,1873,East,27.0,Sports,8,Debit Card,82.95,0.28,2024-01-31,In-Store,2019-12-28,
8510,2654,North,33.0,Home Goods,6,Debit Card,456.8,0.06,2023-06-14,Online,2020-12-22,1.0
7292,4358,North,52.0,Sports,3,Credit Card,369.28,0.07,2024-12-12,Online,2006-05-07,8.0
5586,2424,West,65.0,Electronics,6,Cash,458.07,0.27,2024-07-14,In-Store,2006-06-19,
4091,1475,West,67.0,Sports,2,Credit Card,47.5,0.16,2023-01-22,Online,2007-08-16,3.0
2632,1955,East,42.0,Clothing,8,Credit Card,193.42,0.27,2024-08-21,Online,2018-11-28,1.0
13578,3073,West,46.0,Home Goods,9,Credit Card,278.41,0.26,2023-04-19,In-Store,2006-04-15,
11140,2505,North,43.0,Electronics,6,Cash,231.5,0.15,2023-09-29,In-Store,2013-07-17,
13584,4549,East,60.0,Clothing,3,Debit Card,246.62,0.11,2024-08-03,Online,2022-09-02,9.0
14330,3977,East,32.0,Toys,4,Credit Card,234.86,0.21,2023-07-02,Online,2010-11-28,7.0
14752,4874,South,27.0,Home Goods,3,Debit Card,64.18,0.12,2024-04-21,In-Store,2021-12-05,
11394,4638,West,24.0,Toys,9,Cash,216.11,0.24,2023-01-27,In-Store,2020-08-11,
3210,2184,East,27.0,Electronics,5,Cash,123.03,0.07,2024-07-27,In-Store,2014-08-22,
710,2191,North,21.0,Electronics,6,Debit Card,404.95,0.03,2023-01-19,Online,2015-04-10,1.0
95,3613,West,37.0,Clothing,9,Credit Card,91.29,0.18,2024-09-14,In-Store,2021-05-02,
1460,3151,East,29.0,Home Goods,5,Credit Card,435.13,0.02,2023-10-01,Online,2009-01-17,7.0
9968,3276,West,42.0,Home Goods,4,Debit Card,138.43,0.14,2023-05-22,In-Store,2013-05-24,
9063,3226,East,38.0,Home Goods,2,Credit Card,239.72,0.01,2023-12-18,In-Store,2005-02-01,
5838,1999,North,38.0,Sports,7,Debit Card,330.58,0.02,2024-04-24,Online,2009-06-07,3.0
7099,1336,East,31.0,Toys,3,Debit Card,138.59,0.16,2024-09-20,In-Store,2020-07-05,
11734,2128,West,20.0,Sports,6,Cash,61.85,0.22,2024-12-25,In-Store,2010-05-09,
1645,1848,South,38.0,Toys,1,Credit Card,45.03,0.06,2024-07-05,Online,2009-09-25,3.0
13937,3744,South,69.0,Sports,7,Credit Card,299.15,0.23,2024-11-06,Online,2008-10-29,1.0
13027,1828,South,66.0,Electronics,5,Debit Card,297.61,0.02,2023-11-02,In-Store,2016-08-10,
1999,1726,West,26.0,Home Goods,1,Credit Card,366.21,0.22,2023-12-14,Online,2021-06-19,5.0
8539,4589,South,36.0,Sports,1,Credit Card,177.36,0.1,2023-02-24,Online,2011-02-08,3.0
3898,1547,North,57.0,Sports,6,Debit Card,,0.29,2023-12-29,Online,2011-05-06,1.0
14318,2200,West,69.0,Home Goods,2,Cash,68.02,0.21,2023-08-23,In-Store,2006-09-18,
5485,4212,South,37.0,Sports,9,Credit Card,146.75,0.26,2023-01-15,In-Store,2008-11-27,
1533,3597,North,44.0,Sports,2,Cash,350.92,0.16,2024-10-29,In-Store,2017-11-23,
397,4923,South,65.0,Home Goods,4,Credit Card,223.05,0.25,2024-08-10,,2011-03-03,
14642,1843,South,42.0,Sports,10,Cash,391.66,0.3,2023-07-26,In-Store,2014-05-06,
2090,2981,East,31.0,Toys,4,Debit Card,155.3,0.01,2023-06-14,Online,2018-05-30,7.0
12364,3137,North,42.0,Toys,8,Debit Card,265.51,0.3,2024-06-13,Online,2015-04-01,1.0
4978,4426,West,27.0,Electronics,1,Debit Card,368.54,0.13,2023-09-18,Online,2018-05-03,4.0
11444,1772,South,27.0,Electronics,6,Debit Card,245.68,0.18,2024-05-22,Online,2014-12-05,4.0
804,1143,North,49.0,Clothing,6,Credit Card,243.99,0.25,2024-01-01,Online,2008-08-23,5.0
349,2663,North,24.0,Sports,4,Debit Card,154.95,0.03,2023-03-03,Online,2022-11-05,7.0
2079,1388,East,64.0,Home Goods,7,Debit Card,76.63,0.2,2023-05-15,Online,2021-05-07,7.0
15286,1750,East,44.0,Toys,1,Credit Card,350.84,0.23,2023-08-10,Online,2005-01-24,4.0
9566,4495,South,63.0,Home Goods,5,Cash,121.36,0.22,2024-10-29,In-Store,2019-04-03,
6158,1679,North,50.0,Sports,6,Debit Card,453.5,0.09,2024-06-22,In-Store,2020-05-08,
3630,1662,South,23.0,Electronics,2,Debit Card,320.28,0.08,2024-06-15,Online,2020-03-06,6.0
12981,4027,South,28.0,Clothing,10,Debit Card,,0.15,2023-08-08,Online,2019-12-08,2.0
2828,3474,West,53.0,Clothing,5,Cash,414.32,0.25,2023-06-22,In-Store,2013-07-27,
7242,4190,West,50.0,Clothing,7,Cash,271.22,0.11,2023-07-11,,2014-05-20,
12278,4788,North,,Clothing,4,Credit Card,125.63,0.2,2024-01-11,In-Store,2009-02-08,
15235,4282,South,56.0,Clothing,8,Debit Card,88.02,0.18,2025-02-01,In-Store,2016-07-26,
6529,2780,West,21.0,Sports,7,Credit Card,385.23,0.27,2023-09-01,Online,2006-06-20,7.0
7611,4956,West,,Home Goods,2,Cash,22.44,0.07,2023-08-24,In-Store,2011-08-12,
14465,3106,West,31.0,Home Goods,8,Credit Card,305.43,0.3,2024-01-18,In-Store,2019-01-06,
1840,4045,South,33.0,Toys,7,Credit Card,37.54,0.02,2023-12-02,In-Store,2011-08-30,
283,2636,South,49.0,Clothing,7,Credit Card,204.85,0.01,2024-05-29,,2010-09-27,
263,1663,West,36.0,Toys,3,Cash,,0.05,2023-04-23,In-Store,2021-09-10,
13544,3353,South,67.0,Home Goods,6,Debit Card,63.45,0.14,2024-12-26,,2014-08-26,
6890,3532,West,46.0,Home Goods,4,Debit Card,124.03,0.11,2024-02-27,In-Store,2015-03-01,
11962,4613,East,32.0,Electronics,7,Credit Card,253.32,0.29,2024-02-19,Online,2012-10-26,9.0
9694,3713,North,40.0,Home Goods,5,Debit Card,149.21,0.17,2023-03-18,In-Store,2019-10-04,
2325,4977,East,28.0,Toys,4,Debit Card,360.3,0.03,2024-11-20,In-Store,2010-12-24,
6207,3668,East,49.0,Toys,4,Debit Card,420.53,0.1,2024-10-23,Online,2012-05-07,6.0
6901,2942,North,55.0,Toys,3,Credit Card,30.44,0.03,2023-09-06,Online,2014-07-20,8.0
9264,1227,South,,Electronics,3,Credit Card,368.3,0.18,2023-10-02,Online,2015-10-21,9.0
9846,4203,South,50.0,Sports,3,Debit Card,306.04,0.27,2024-11-10,In-Store,2016-03-05,
5483,2270,East,62.0,Sports,5,Credit Card,13.93,0.02,2023-01-08,In-Store,2007-12-21,
13642,1297,West,35.0,Electronics,8,Credit Card,253.82,0.05,2023-11-30,In-Store,2016-03-18,
12262,2636,South,49.0,Clothing,7,Credit Card,197.26,0.04,2024-06-17,,2010-09-27,
14673,2272,West,53.0,Home Goods,9,Debit Card,484.0,0.27,2024-01-25,In-Store,2022-09-25,
8148,4795,East,64.0,Clothing,2,Cash,243.44,0.1,2024-11-18,In-Store,2010-05-16,
8078,4523,South,50.0,Home Goods,3,Cash,42.15,0.08,2023-07-10,In-Store,2008-08-08,
623,4709,West,40.0,Toys,5,Credit Card,145.37,0.08,2024-12-07,In-Store,2017-01-30,
8357,1819,South,29.0,Sports,3,Cash,477.57,0.14,2023-09-23,In-Store,2014-06-04,
3684,2284,North,28.0,Sports,7,Cash,188.55,0.14,2024-11-11,In-Store,2017-12-01,
4428,1178,North,29.0,Electronics,4,Cash,195.66,0.29,2024-09-28,In-Store,2014-08-03,
11713,1252,West,28.0,Home Goods,9,Debit Card,31.94,0.16,2024-03-30,,2019-02-06,
12714,2166,South,44.0,Electronics,3,Credit Card,103.65,0.23,2023-09-13,Online,2014-07-15,2.0
8382,2969,South,48.0,Toys,3,Credit Card,432.07,,2024-07-19,In-Store,2015-06-15,
4903,2346,North,62.0,Sports,4,Debit Card,366.49,0.05,2024-08-22,In-Store,2017-11-21,
2592,1694,South,,Sports,1,Credit Card,122.89,0.13,2024-09-26,Online,2005-08-22,5.0
1592,1935,North,60.0,Electronics,9,Cash,388.1,0.1,2024-10-24,In-Store,2021-06-17,
12859,2045,East,30.0,Home Goods,10,Debit Card,74.96,0.04,2023-09-01,Online,2020-05-10,8.0
3182,2423,West,55.0,Toys,5,Debit Card,483.97,0.08,2023-06-29,Online,2020-06-11,1.0
3570,4747,West,46.0,Electronics,5,Debit Card,223.41,0.12,2024-04-28,Online,2018-10-16,1.0
5758,2104,West,45.0,Toys,9,Cash,206.84,,2023-12-18,In-Store,2012-08-03,
10277,3864,East,32.0,Toys,1,Credit Card,214.25,0.12,2024-07-08,In-Store,2020-02-11,
11975,4023,South,34.0,Electronics,5,Cash,,0.04,2023-08-22,In-Store,2010-10-29,
4366,2621,South,36.0,Sports,8,Debit Card,,0.16,2024-10-18,In-Store,2014-06-01,
12338,3369,South,51.0,Home Goods,8,Debit Card,404.47,0.15,2023-03-24,Online,2021-06-20,5.0
10477,3332,West,25.0,Sports,6,Debit Card,395.23,0.28,2024-02-11,In-Store,2009-10-04,
3975,1424,West,38.0,Home Goods,6,Cash,461.17,0.13,2024-12-08,In-Store,2017-05-29,
5448,2275,North,51.0,Electronics,4,Credit Card,76.8,0.18,2023-03-05,Online,2010-02-27,3.0
